"","SOCP","WAGP_median"
"1","CLN-Janitors And Building Cleaners",24046.4376
"2","CLN-Maids And Housekeeping Cleaners",11843.71
"3","CMM-Software Developers",159615.12
"4","EAT-Waiters And Waitresses",15396.823
"5","EDU-Elementary And Middle School Teachers",61496.349
"6","HLS-Personal Care Aides",20846.22
"7","MGR-Other Managers",104231.1
"8","PRT-Security Guards And Gambling Surveillance Officers",34795.98
"9","SAL-First-Line Supervisors Of Retail Sales Workers",53353.836
"10","TRN-Driver/Sales Workers And Truck Drivers",37523.196
"11","TRN-Laborers And Freight, Stock, And Material Movers, Hand",23687.42
